,movie_rankings,movie_titles,movie_links,movie_ratings,movie_years
153,154,Shutter Island,https://www.imdb.com//title/tt1130884/,8.1,2010
154,155,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com//title/tt0120735/,8.1,1998
155,156,No Country for Old Men,https://www.imdb.com//title/tt0477348/,8.1,2007
156,157,Klaus,https://www.imdb.com//title/tt4729430/,8.1,2019
157,158,Dial M for Murder,https://www.imdb.com//title/tt0046912/,8.1,1954
158,159,The Thing,https://www.imdb.com//title/tt0084787/,8.1,1982
159,160,The Gold Rush,https://www.imdb.com//title/tt0015864/,8.1,1925
160,161,"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com//title/tt5027774/,8.1,2017
161,162,The Seventh Seal,https://www.imdb.com//title/tt0050976/,8.1,1957
162,163,The Elephant Man,https://www.imdb.com//title/tt0080678/,8.1,1980
163,164,The Sixth Sense,https://www.imdb.com//title/tt0167404/,8.1,1999
164,165,Dersu Uzala,https://www.imdb.com//title/tt0071411/,8.1,1975
165,166,Jurassic Park,https://www.imdb.com//title/tt0107290/,8.1,1993
166,167,The Truman Show,https://www.imdb.com//title/tt0120382/,8.1,1998
167,168,Wild Strawberries,https://www.imdb.com//title/tt0050986/,8.1,1957
168,169,The Third Man,https://www.imdb.com//title/tt0041959/,8.1,1949
169,170,Memories of Murder,https://www.imdb.com//title/tt0353969/,8.1,2003
170,171,V for Vendetta,https://www.imdb.com//title/tt0434409/,8.1,2005
171,172,Blade Runner,https://www.imdb.com//title/tt0083658/,8.1,1982
172,173,Trainspotting,https://www.imdb.com//title/tt0117951/,8.1,1996
173,174,Fargo,https://www.imdb.com//title/tt0116282/,8.1,1996
174,175,The Bridge on the River Kwai,https://www.imdb.com//title/tt0050212/,8.1,1957
175,176,Inside Out,https://www.imdb.com//title/tt2096673/,8.1,2015
176,177,Finding Nemo,https://www.imdb.com//title/tt0266543/,8.1,2003
177,178,Kill Bill: Vol. 1,https://www.imdb.com//title/tt0266697/,8.1,2003
178,179,Warrior,https://www.imdb.com//title/tt1291584/,8.1,2011
179,180,Gone with the Wind,https://www.imdb.com//title/tt0031381/,8.1,1939
180,181,Tokyo Story,https://www.imdb.com//title/tt0046438/,8.1,1953
181,182,On the Waterfront,https://www.imdb.com//title/tt0047296/,8.1,1954
182,183,My Father and My Son,https://www.imdb.com//title/tt0476735/,8.1,2005
183,184,Prisoners,https://www.imdb.com//title/tt1392214/,8.1,2013
184,185,Wild Tales,https://www.imdb.com//title/tt3011894/,8.1,2014
185,186,Stalker,https://www.imdb.com//title/tt0079944/,8.1,1979
186,187,The Grand Budapest Hotel,https://www.imdb.com//title/tt2278388/,8.1,2014
187,188,The Deer Hunter,https://www.imdb.com//title/tt0077416/,8.1,1978
188,189,The General,https://www.imdb.com//title/tt0017925/,8.1,1926
189,190,Persona,https://www.imdb.com//title/tt0060827/,8.1,1966
190,191,Sherlock Jr.,https://www.imdb.com//title/tt0015324/,8.1,1924
191,192,Gran Torino,https://www.imdb.com//title/tt1205489/,8.1,2008
192,193,Before Sunrise,https://www.imdb.com//title/tt0112471/,8.1,1995
193,194,Mary and Max,https://www.imdb.com//title/tt0978762/,8.1,2009
194,195,Catch Me If You Can,https://www.imdb.com//title/tt0264464/,8.1,2002
195,196,Mr. Smith Goes to Washington,https://www.imdb.com//title/tt0031679/,8.1,1939
196,197,Barry Lyndon,https://www.imdb.com//title/tt0072684/,8.1,1975
197,198,In the Name of the Father,https://www.imdb.com//title/tt0107207/,8.1,1993
198,199,Hacksaw Ridge,https://www.imdb.com//title/tt2119532/,8.1,2016
199,200,Dune,https://www.imdb.com//title/tt1160419/,8.1,2021
200,201,Gone Girl,https://www.imdb.com//title/tt2267998/,8.1,2014
201,202,Z,https://www.imdb.com//title/tt0065234/,8.1,1969
202,203,Room,https://www.imdb.com//title/tt3170832/,8.1,2015
203,204,Andhadhun,https://www.imdb.com//title/tt8108198/,8.1,2018
204,205,The Passion of Joan of Arc,https://www.imdb.com//title/tt0019254/,8.1,1928
205,206,Ford v Ferrari,https://www.imdb.com//title/tt1950186/,8.1,2019
206,207,12 Years a Slave,https://www.imdb.com//title/tt2024544/,8.1,2013
207,208,To Be or Not to Be,https://www.imdb.com//title/tt0035446/,8.1,1942
208,209,The Big Lebowski,https://www.imdb.com//title/tt0118715/,8.1,1998
209,210,Dead Poets Society,https://www.imdb.com//title/tt0097165/,8.1,1989
210,211,Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com//title/tt1201607/,8.1,2011
211,212,Ben-Hur,https://www.imdb.com//title/tt0052618/,8.1,1959
212,213,How to Train Your Dragon,https://www.imdb.com//title/tt0892769/,8.1,2010
213,214,Mad Max: Fury Road,https://www.imdb.com//title/tt1392190/,8.1,2015
214,215,Autumn Sonata,https://www.imdb.com//title/tt0077711/,8.1,1978
215,216,Million Dollar Baby,https://www.imdb.com//title/tt0405159/,8.1,2004
216,217,The Wages of Fear,https://www.imdb.com//title/tt0046268/,8.1,1953
217,218,Stand by Me,https://www.imdb.com//title/tt0092005/,8.1,1986
218,219,Network,https://www.imdb.com//title/tt0074958/,8.1,1976
219,220,The Handmaiden,https://www.imdb.com//title/tt4016934/,8.1,2016
220,221,Logan,https://www.imdb.com//title/tt3315342/,8.1,2017
221,222,La Haine,https://www.imdb.com//title/tt0113247/,8.1,1995
222,223,Gangs of Wasseypur,https://www.imdb.com//title/tt1954470/,8.1,2012
223,224,A Silent Voice: The Movie,https://www.imdb.com//title/tt5323662/,8.0,2016
224,225,Cool Hand Luke,https://www.imdb.com//title/tt0061512/,8.0,1967
225,226,Hachi: A Dog's Tale,https://www.imdb.com//title/tt1028532/,8.0,2009
226,227,The 400 Blows,https://www.imdb.com//title/tt0053198/,8.0,1959
227,228,Platoon,https://www.imdb.com//title/tt0091763/,8.0,1986
228,229,Spotlight,https://www.imdb.com//title/tt1895587/,8.0,2015
229,230,"Monsters, Inc.",https://www.imdb.com//title/tt0198781/,8.0,2001
